 0.314286    8.54146    8.11237    7.68328    7.25419    6.82510    6.39601    5.96692    5.53783    5.10874   4.686   4.302   3.953   3.633   3.337   3.063   2.807   2.569   2.347   2.140   1.946   1.765
 0.309859    8.61154    8.17414    7.73674    7.29934    6.86194    6.42454    5.98715    5.54975    5.11235   4.686   4.302   3.953   3.633   3.337   3.063   2.807   2.569   2.347   2.140   1.946   1.765
 0.305556    8.68111    8.23532    7.78953    7.34374    6.89795    6.45216    6.00637    5.56058    5.11479   4.686   4.302   3.953   3.633   3.337   3.063   2.807   2.569   2.347   2.140   1.946   1.765
 0.301370    8.75024    8.29598    7.84171    7.38745    6.93318    6.47891    6.02465    5.57038    5.11612   4.686   4.302   3.953   3.633   3.337   3.063   2.807   2.569   2.347   2.140   1.946   1.765
 0.297297    8.81899    8.35616    7.89334    7.43051    6.96768    6.50485    6.04202    5.57919    5.11636   4.686   4.302   3.953   3.633   3.337   3.063   2.807   2.569   2.347   2.140   1.946   1.765
 0.293333    8.88741    8.41593    7.94446    7.47298    7.00150    6.53002    6.05854    5.58706   5.116   4.686   4.302   3.953   3.633   3.337   3.063   2.807   2.569   2.347   2.140   1.946   1.765
 0.289474    8.95556    8.47535    7.99513    7.51491    7.03469    6.55448    6.07426    5.59404   5.116   4.686   4.302   3.953   3.633   3.337   3.063   2.807   2.569   2.347   2.140   1.946   1.765
 0.285714    9.02350    8.53446    8.04541    7.55637    7.06732    6.57827    6.08923    5.60018   5.116   4.686   4.302   3.953   3.633   3.337   3.063   2.807   2.569   2.347   2.140   1.946   1.765
 0.282051    9.09130    8.59333    8.09536    7.59740    7.09943    6.60146    6.10350    5.60553   5.116   4.686   4.302   3.953   3.633   3.337   3.063   2.807   2.569   2.347   2.140   1.946   1.765
 0.278481    9.15900    8.65202    8.14504    7.63806    7.13108    6.62410    6.11712    5.61014   5.116   4.686   4.302   3.953   3.633   3.337   3.063   2.807   2.569   2.347   2.140   1.946   1.765
 0.275000    9.22668    8.71060    8.19451    7.67842    7.16233    6.64624    6.13016    5.61407   5.116   4.686   4.302   3.953   3.633   3.337   3.063   2.807   2.569   2.347   2.140   1.946   1.765
 0.271605    9.29441    8.76912    8.24383    7.71853    7.19324    6.66795    6.14266    5.61737   5.116   4.686   4.302   3.953   3.633   3.337   3.063   2.807   2.569   2.347   2.140   1.946   1.765
