  11.149 -3.316  12.097 -3.633  13.046 -3.949  13.994 -4.266  14.943 -4.582
  11.151 -3.309  12.102 -3.618  13.053 -3.927  14.004 -4.236  14.955 -4.545
  11.153 -3.302  12.107 -3.603  13.060 -3.905  14.014 -4.206  14.967 -4.508
  11.156 -3.294  12.112 -3.588  13.067 -3.882  14.023 -4.176  14.979 -4.470
  11.158 -3.287  12.116 -3.573  13.074 -3.860  14.032 -4.146  14.990 -4.433
  11.160 -3.279  12.121 -3.558  13.081 -3.837  14.041 -4.116  15.001 -4.395
  11.162 -3.271  12.125 -3.543  13.087 -3.814  14.050 -4.086  15.012 -4.357
  11.165 -3.264  12.129 -3.528  13.094 -3.792  14.058 -4.055  15.023 -4.319
  11.167 -3.256  12.133 -3.513  13.100 -3.769  14.066 -4.025  15.033 -4.281
  11.169 -3.249  12.137 -3.497  13.106 -3.746  14.074 -3.995  15.043 -4.243
  11.171 -3.241  12.141 -3.482  13.112 -3.723  14.082 -3.964  15.053 -4.205
  11.172 -3.233  12.145 -3.467  13.117 -3.700  14.089 -3.934  15.062 -4.167
  11.174 -3.226  12.148 -3.452  13.123 -3.677  14.097 -3.903  15.071 -4.129
  11.176 -3.218  12.152 -3.436  13.128 -3.654  14.104 -3.873  15.080 -4.091
  11.178 -3.210  12.155 -3.421  13.133 -3.631  14.110 -3.842  15.088 -4.052
  11.179 -3.203  12.158 -3.406  13.138 -3.608  14.117 -3.811  15.096 -4.014
  11.181 -3.195  12.162 -3.390  13.142 -3.585  14.123 -3.780  15.104 -3.975
  11.182 -3.187  12.165 -3.375  13.147 -3.562  14.129 -3.750  15.111 -3.937
  11.184 -3.180  12.167 -3.359  13.151 -3.539  14.135 -3.719  15.119 -3.898
  11.185 -3.172  12.170 -3.344  13.155 -3.516  14.140 -3.688  15.126 -3.860
  11.186 -3.164  12.173 -3.328  13.159 -3.493  14.146 -3.657  15.132 -3.821
  11.188 -3.156  12.175 -3.313  13.163 -3.469  14.151 -3.626  15.138 -3.782
  11.189 -3.149  12.178 -3.297  13.167 -3.446  14.156 -3.595  15.144 -3.743
  11.190 -3.141  12.180 -3.282  13.170 -3.423  14.160 -3.564  15.150 -3.705
  11.191 -3.133  12.182 -3.266  13.173 -3.399  14.164 -3.532  15.155 -3.666
  11.192 -3.125  12.184 -3.251  13.176 -3.376  14.168 -3.501  15.161 -3.627
  11.193 -3.118  12.186 -3.235  13.179 -3.353  14.172 -3.470  15.165 -3.588
  11.194 -3.110  12.188 -3.219  13.182 -3.329  14.176 -3.439  15.170 -3.549
  11.195 -3.102  12.190 -3.204  13.184 -3.306  14.179 -3.408  15.174 -3.510
  11.196 -3.094  12.191 -3.188  13.187 -3.282  14.182 -3.376  15.178 -3.471
  11.196 -3.086  12.193 -3.173  13.189 -3.259  14.185 -3.345  15.181 -3.431
  11.197 -3.078  12.194 -3.157  13.191 -3.235  14.188 -3.314  15.185 -3.392
  11.198 -3.071  12.195 -3.141  13.193 -3.212  14.190 -3.283  15.188 -3.353
